gene,cancer_type,cell_line,chronos_score
TROP2,NSCLC,NSCLC_1,-0.128
TROP2,NSCLC,NSCLC_2,-0.225
TROP2,NSCLC,NSCLC_3,-0.196
TROP2,NSCLC,NSCLC_4,-0.345
TROP2,NSCLC,NSCLC_5,-0.209
TROP2,NSCLC,NSCLC_6,-0.212
TROP2,NSCLC,NSCLC_7,-0.152
TROP2,NSCLC,NSCLC_8,-0.247
TROP2,NSCLC,NSCLC_9,-0.123
TROP2,NSCLC,NSCLC_10,-0.058
TROP2,CRC,CRC_1,-0.131
TROP2,CRC,CRC_2,-0.108
TROP2,CRC,CRC_3,-0.144
TROP2,CRC,CRC_4,-0.15
TROP2,CRC,CRC_5,-0.237
TROP2,CRC,CRC_6,-0.112
TROP2,CRC,CRC_7,-0.162
TROP2,CRC,CRC_8,0.101
TROP2,CRC,CRC_9,0.039
TROP2,CRC,CRC_10,-0.104
TROP2,Breast,Breast_1,-0.312
TROP2,Breast,Breast_2,-0.353
TROP2,Breast,Breast_3,-0.077
TROP2,Breast,Breast_4,-0.188
TROP2,Breast,Breast_5,-0.162
TROP2,Breast,Breast_6,-0.429
TROP2,Breast,Breast_7,-0.109
TROP2,Breast,Breast_8,-0.165
TROP2,Breast,Breast_9,-0.353
TROP2,Breast,Breast_10,-0.277
TROP2,Ovarian,Ovarian_1,-0.108
TROP2,Ovarian,Ovarian_2,-0.134
TROP2,Ovarian,Ovarian_3,-0.175
TROP2,Ovarian,Ovarian_4,-0.152
TROP2,Ovarian,Ovarian_5,-0.17
TROP2,Ovarian,Ovarian_6,-0.122
TROP2,Ovarian,Ovarian_7,0.037
TROP2,Ovarian,Ovarian_8,-0.448
TROP2,Ovarian,Ovarian_9,-0.168
TROP2,Ovarian,Ovarian_10,-0.119
TROP2,Pancreatic,Pancreatic_1,-0.084
TROP2,Pancreatic,Pancreatic_2,-0.165
TROP2,Pancreatic,Pancreatic_3,-0.331
TROP2,Pancreatic,Pancreatic_4,-0.081
TROP2,Pancreatic,Pancreatic_5,0.087
TROP2,Pancreatic,Pancreatic_6,-0.304
TROP2,Pancreatic,Pancreatic_7,-0.016
TROP2,Pancreatic,Pancreatic_8,-0.159
TROP2,Pancreatic,Pancreatic_9,-0.127
TROP2,Pancreatic,Pancreatic_10,-0.246
CEACAM5,NSCLC,NSCLC_1,-0.12
CEACAM5,NSCLC,NSCLC_2,0.076
CEACAM5,NSCLC,NSCLC_3,-0.01
CEACAM5,NSCLC,NSCLC_4,0.128
CEACAM5,NSCLC,NSCLC_5,0.061
CEACAM5,NSCLC,NSCLC_6,-0.027
CEACAM5,NSCLC,NSCLC_7,0.129
CEACAM5,NSCLC,NSCLC_8,-0.027
CEACAM5,NSCLC,NSCLC_9,0.019
CEACAM5,NSCLC,NSCLC_10,-0.116
CEACAM5,CRC,CRC_1,-0.102
CEACAM5,CRC,CRC_2,-0.194
CEACAM5,CRC,CRC_3,0.009
CEACAM5,CRC,CRC_4,-0.251
CEACAM5,CRC,CRC_5,-0.016
CEACAM5,CRC,CRC_6,-0.133
CEACAM5,CRC,CRC_7,0.031
CEACAM5,CRC,CRC_8,-0.02
CEACAM5,CRC,CRC_9,0.108
CEACAM5,CRC,CRC_10,-0.022
CEACAM5,Breast,Breast_1,-0.239
CEACAM5,Breast,Breast_2,-0.058
CEACAM5,Breast,Breast_3,-0.191
CEACAM5,Breast,Breast_4,-0.112
CEACAM5,Breast,Breast_5,0.131
CEACAM5,Breast,Breast_6,0.027
CEACAM5,Breast,Breast_7,-0.134
CEACAM5,Breast,Breast_8,-0.172
CEACAM5,Breast,Breast_9,-0.046
CEACAM5,Breast,Breast_10,-0.196
CEACAM5,Ovarian,Ovarian_1,-0.111
CEACAM5,Ovarian,Ovarian_2,0.007
CEACAM5,Ovarian,Ovarian_3,0.109
CEACAM5,Ovarian,Ovarian_4,0.043
CEACAM5,Ovarian,Ovarian_5,-0.305
CEACAM5,Ovarian,Ovarian_6,0.007
CEACAM5,Ovarian,Ovarian_7,-0.021
CEACAM5,Ovarian,Ovarian_8,0.02
CEACAM5,Ovarian,Ovarian_9,0.164
CEACAM5,Ovarian,Ovarian_10,-0.278
CEACAM5,Pancreatic,Pancreatic_1,-0.121
CEACAM5,Pancreatic,Pancreatic_2,0.021
CEACAM5,Pancreatic,Pancreatic_3,-0.24
CEACAM5,Pancreatic,Pancreatic_4,0.127
CEACAM5,Pancreatic,Pancreatic_5,-0.006
CEACAM5,Pancreatic,Pancreatic_6,0.052
CEACAM5,Pancreatic,Pancreatic_7,-0.119
CEACAM5,Pancreatic,Pancreatic_8,0.048
CEACAM5,Pancreatic,Pancreatic_9,0.078
CEACAM5,Pancreatic,Pancreatic_10,-0.022
EGFR,NSCLC,NSCLC_1,-0.552
EGFR,NSCLC,NSCLC_2,-0.548
EGFR,NSCLC,NSCLC_3,-0.684
EGFR,NSCLC,NSCLC_4,-0.598
EGFR,NSCLC,NSCLC_5,-0.598
EGFR,NSCLC,NSCLC_6,-0.534
EGFR,NSCLC,NSCLC_7,-0.46
EGFR,NSCLC,NSCLC_8,-0.707
EGFR,NSCLC,NSCLC_9,-0.595
EGFR,NSCLC,NSCLC_10,-0.402
EGFR,CRC,CRC_1,-0.539
EGFR,CRC,CRC_2,-0.549
EGFR,CRC,CRC_3,-0.426
EGFR,CRC,CRC_4,-0.349
EGFR,CRC,CRC_5,-0.449
EGFR,CRC,CRC_6,-0.291
EGFR,CRC,CRC_7,-0.347
EGFR,CRC,CRC_8,-0.349
EGFR,CRC,CRC_9,-0.384
EGFR,CRC,CRC_10,-0.171
EGFR,Breast,Breast_1,-0.235
EGFR,Breast,Breast_2,-0.45
EGFR,Breast,Breast_3,-0.017
EGFR,Breast,Breast_4,-0.265
EGFR,Breast,Breast_5,-0.197
EGFR,Breast,Breast_6,-0.053
EGFR,Breast,Breast_7,-0.402
EGFR,Breast,Breast_8,-0.36
EGFR,Breast,Breast_9,-0.402
EGFR,Breast,Breast_10,-0.305
EGFR,Ovarian,Ovarian_1,-0.067
EGFR,Ovarian,Ovarian_2,-0.057
EGFR,Ovarian,Ovarian_3,-0.087
EGFR,Ovarian,Ovarian_4,-0.29
EGFR,Ovarian,Ovarian_5,-0.397
EGFR,Ovarian,Ovarian_6,-0.113
EGFR,Ovarian,Ovarian_7,-0.177
EGFR,Ovarian,Ovarian_8,-0.065
EGFR,Ovarian,Ovarian_9,-0.036
EGFR,Ovarian,Ovarian_10,-0.103
EGFR,Pancreatic,Pancreatic_1,-0.099
EGFR,Pancreatic,Pancreatic_2,-0.162
EGFR,Pancreatic,Pancreatic_3,-0.126
EGFR,Pancreatic,Pancreatic_4,-0.275
EGFR,Pancreatic,Pancreatic_5,-0.212
EGFR,Pancreatic,Pancreatic_6,-0.166
EGFR,Pancreatic,Pancreatic_7,-0.092
EGFR,Pancreatic,Pancreatic_8,-0.237
EGFR,Pancreatic,Pancreatic_9,-0.127
EGFR,Pancreatic,Pancreatic_10,-0.222
MET,NSCLC,NSCLC_1,-0.544
MET,NSCLC,NSCLC_2,-0.43
MET,NSCLC,NSCLC_3,-0.769
MET,NSCLC,NSCLC_4,-0.686
MET,NSCLC,NSCLC_5,-0.708
MET,NSCLC,NSCLC_6,-0.81
MET,NSCLC,NSCLC_7,-0.611
MET,NSCLC,NSCLC_8,-0.44
MET,NSCLC,NSCLC_9,-0.564
MET,NSCLC,NSCLC_10,-0.506
MET,CRC,CRC_1,-0.069
MET,CRC,CRC_2,-0.041
MET,CRC,CRC_3,-0.208
MET,CRC,CRC_4,-0.038
MET,CRC,CRC_5,-0.189
MET,CRC,CRC_6,-0.3
MET,CRC,CRC_7,-0.271
MET,CRC,CRC_8,-0.378
MET,CRC,CRC_9,-0.307
MET,CRC,CRC_10,-0.243
MET,Breast,Breast_1,-0.064
MET,Breast,Breast_2,0.046
MET,Breast,Breast_3,-0.326
MET,Breast,Breast_4,-0.113
MET,Breast,Breast_5,-0.285
MET,Breast,Breast_6,-0.103
MET,Breast,Breast_7,-0.176
MET,Breast,Breast_8,-0.38
MET,Breast,Breast_9,-0.049
MET,Breast,Breast_10,-0.233
MET,Ovarian,Ovarian_1,-0.164
MET,Ovarian,Ovarian_2,-0.228
MET,Ovarian,Ovarian_3,-0.179
MET,Ovarian,Ovarian_4,-0.049
MET,Ovarian,Ovarian_5,-0.123
MET,Ovarian,Ovarian_6,-0.061
MET,Ovarian,Ovarian_7,-0.057
MET,Ovarian,Ovarian_8,0.058
MET,Ovarian,Ovarian_9,-0.141
MET,Ovarian,Ovarian_10,-0.277
MET,Pancreatic,Pancreatic_1,-0.042
MET,Pancreatic,Pancreatic_2,-0.21
MET,Pancreatic,Pancreatic_3,-0.036
MET,Pancreatic,Pancreatic_4,-0.124
MET,Pancreatic,Pancreatic_5,-0.186
MET,Pancreatic,Pancreatic_6,-0.128
MET,Pancreatic,Pancreatic_7,0.064
MET,Pancreatic,Pancreatic_8,0.079
MET,Pancreatic,Pancreatic_9,-0.162
MET,Pancreatic,Pancreatic_10,-0.151
HER3,NSCLC,NSCLC_1,-0.151
HER3,NSCLC,NSCLC_2,-0.381
HER3,NSCLC,NSCLC_3,-0.24
HER3,NSCLC,NSCLC_4,-0.283
HER3,NSCLC,NSCLC_5,-0.242
HER3,NSCLC,NSCLC_6,-0.38
HER3,NSCLC,NSCLC_7,-0.471
HER3,NSCLC,NSCLC_8,-0.529
HER3,NSCLC,NSCLC_9,-0.414
HER3,NSCLC,NSCLC_10,-0.335
HER3,CRC,CRC_1,-0.155
HER3,CRC,CRC_2,0.112
HER3,CRC,CRC_3,0.013
HER3,CRC,CRC_4,-0.235
HER3,CRC,CRC_5,-0.078
HER3,CRC,CRC_6,-0.169
HER3,CRC,CRC_7,-0.154
HER3,CRC,CRC_8,-0.098
HER3,CRC,CRC_9,-0.046
HER3,CRC,CRC_10,-0.161
HER3,Breast,Breast_1,-0.132
HER3,Breast,Breast_2,-0.397
HER3,Breast,Breast_3,-0.259
HER3,Breast,Breast_4,0.052
HER3,Breast,Breast_5,-0.233
HER3,Breast,Breast_6,-0.088
HER3,Breast,Breast_7,-0.249
HER3,Breast,Breast_8,-0.19
HER3,Breast,Breast_9,-0.267
