cancer_type,gene,median_gene_effect,fraction_dependent
Breast,CEACAM5,-0.123,0.0
CRC,CEACAM5,-0.020999999999999998,0.0
NSCLC,CEACAM5,0.0045,0.0
Ovarian,CEACAM5,0.007,0.0
Pancreatic,CEACAM5,0.007500000000000001,0.0
Breast,EGFR,-0.28500000000000003,0.3
CRC,EGFR,-0.3665,0.4
NSCLC,EGFR,-0.5735,1.0
Ovarian,EGFR,-0.095,0.0
Pancreatic,EGFR,-0.164,0.0
Breast,HER3,-0.241,0.0
CRC,HER3,-0.126,0.0
NSCLC,HER3,-0.35750000000000004,0.3
Ovarian,HER3,-0.132,0.0
Pancreatic,HER3,-0.2825,0.1
Breast,MET,-0.1445,0.0
CRC,MET,-0.22549999999999998,0.0
NSCLC,MET,-0.5874999999999999,1.0
Ovarian,MET,-0.132,0.0
Pancreatic,MET,-0.126,0.0
Breast,TROP2,-0.2325,0.1
CRC,TROP2,-0.1215,0.0
NSCLC,TROP2,-0.2025,0.0
Ovarian,TROP2,-0.14300000000000002,0.1
Pancreatic,TROP2,-0.14300000000000002,0.0
