cancer_type,gene,tissue_group,sample_id,expression_tpm
NSCLC,TROP2,Tumor,NSCLC_T0,26.371
NSCLC,TROP2,Tumor,NSCLC_T1,20.32
NSCLC,TROP2,Tumor,NSCLC_T2,28.377
NSCLC,TROP2,Tumor,NSCLC_T3,29.233
NSCLC,TROP2,Tumor,NSCLC_T4,16.22
NSCLC,TROP2,Tumor,NSCLC_T5,19.14
NSCLC,TROP2,Tumor,NSCLC_T6,25.575
NSCLC,TROP2,Tumor,NSCLC_T7,23.577
NSCLC,TROP2,Tumor,NSCLC_T8,24.924
NSCLC,TROP2,Tumor,NSCLC_T9,21.161
NSCLC,TROP2,Tumor,NSCLC_T10,28.957
NSCLC,TROP2,Tumor,NSCLC_T11,28.5
NSCLC,TROP2,Tumor,NSCLC_T12,25.297
NSCLC,TROP2,Tumor,NSCLC_T13,30.073
NSCLC,TROP2,Tumor,NSCLC_T14,27.104
NSCLC,TROP2,Tumor,NSCLC_T15,21.133
NSCLC,TROP2,Tumor,NSCLC_T16,26.659
NSCLC,TROP2,Tumor,NSCLC_T17,20.685
NSCLC,TROP2,Normal,NSCLC_N0,2.439
NSCLC,TROP2,Normal,NSCLC_N1,1.975
NSCLC,TROP2,Normal,NSCLC_N2,1.908
NSCLC,TROP2,Normal,NSCLC_N3,1.66
NSCLC,TROP2,Normal,NSCLC_N4,2.611
NSCLC,TROP2,Normal,NSCLC_N5,1.923
NSCLC,TROP2,Normal,NSCLC_N6,1.786
NSCLC,TROP2,Normal,NSCLC_N7,1.824
NSCLC,TROP2,Normal,NSCLC_N8,2.266
NSCLC,TROP2,Normal,NSCLC_N9,2.183
NSCLC,TROP2,Normal,NSCLC_N10,2.206
NSCLC,TROP2,Normal,NSCLC_N11,2.215
NSCLC,TROP2,Normal,NSCLC_N12,3.071
NSCLC,TROP2,Normal,NSCLC_N13,1.797
NSCLC,CEACAM5,Tumor,NSCLC_T0,19.972
NSCLC,CEACAM5,Tumor,NSCLC_T1,18.777
NSCLC,CEACAM5,Tumor,NSCLC_T2,24.439
NSCLC,CEACAM5,Tumor,NSCLC_T3,26.471
NSCLC,CEACAM5,Tumor,NSCLC_T4,21.549
NSCLC,CEACAM5,Tumor,NSCLC_T5,18.673
NSCLC,CEACAM5,Tumor,NSCLC_T6,18.735
NSCLC,CEACAM5,Tumor,NSCLC_T7,24.576
NSCLC,CEACAM5,Tumor,NSCLC_T8,24.943
NSCLC,CEACAM5,Tumor,NSCLC_T9,24.151
NSCLC,CEACAM5,Tumor,NSCLC_T10,19.365
NSCLC,CEACAM5,Tumor,NSCLC_T11,22.919
NSCLC,CEACAM5,Tumor,NSCLC_T12,22.462
NSCLC,CEACAM5,Tumor,NSCLC_T13,22.866
NSCLC,CEACAM5,Tumor,NSCLC_T14,25.451
NSCLC,CEACAM5,Tumor,NSCLC_T15,22.885
NSCLC,CEACAM5,Tumor,NSCLC_T16,24.688
NSCLC,CEACAM5,Tumor,NSCLC_T17,22.268
NSCLC,CEACAM5,Normal,NSCLC_N0,0.887
NSCLC,CEACAM5,Normal,NSCLC_N1,0.989
NSCLC,CEACAM5,Normal,NSCLC_N2,0.363
NSCLC,CEACAM5,Normal,NSCLC_N3,0.704
NSCLC,CEACAM5,Normal,NSCLC_N4,0.659
NSCLC,CEACAM5,Normal,NSCLC_N5,0.608
NSCLC,CEACAM5,Normal,NSCLC_N6,0.717
NSCLC,CEACAM5,Normal,NSCLC_N7,1.248
NSCLC,CEACAM5,Normal,NSCLC_N8,0.54
NSCLC,CEACAM5,Normal,NSCLC_N9,1.09
NSCLC,CEACAM5,Normal,NSCLC_N10,0.295
NSCLC,CEACAM5,Normal,NSCLC_N11,0.7
NSCLC,CEACAM5,Normal,NSCLC_N12,0.849
NSCLC,CEACAM5,Normal,NSCLC_N13,0.976
NSCLC,EGFR,Tumor,NSCLC_T0,22.56
NSCLC,EGFR,Tumor,NSCLC_T1,22.856
NSCLC,EGFR,Tumor,NSCLC_T2,18.745
NSCLC,EGFR,Tumor,NSCLC_T3,18.336
NSCLC,EGFR,Tumor,NSCLC_T4,23.089
NSCLC,EGFR,Tumor,NSCLC_T5,19.311
NSCLC,EGFR,Tumor,NSCLC_T6,15.408
NSCLC,EGFR,Tumor,NSCLC_T7,15.92
NSCLC,EGFR,Tumor,NSCLC_T8,16.69
NSCLC,EGFR,Tumor,NSCLC_T9,21.79
NSCLC,EGFR,Tumor,NSCLC_T10,20.513
NSCLC,EGFR,Tumor,NSCLC_T11,22.486
NSCLC,EGFR,Tumor,NSCLC_T12,18.462
NSCLC,EGFR,Tumor,NSCLC_T13,20.571
NSCLC,EGFR,Tumor,NSCLC_T14,22.252
NSCLC,EGFR,Tumor,NSCLC_T15,18.886
NSCLC,EGFR,Tumor,NSCLC_T16,21.644
NSCLC,EGFR,Tumor,NSCLC_T17,17.617
NSCLC,EGFR,Normal,NSCLC_N0,5.91
NSCLC,EGFR,Normal,NSCLC_N1,5.88
NSCLC,EGFR,Normal,NSCLC_N2,4.557
NSCLC,EGFR,Normal,NSCLC_N3,7.291
NSCLC,EGFR,Normal,NSCLC_N4,5.737
NSCLC,EGFR,Normal,NSCLC_N5,6.52
NSCLC,EGFR,Normal,NSCLC_N6,7.281
NSCLC,EGFR,Normal,NSCLC_N7,7.226
NSCLC,EGFR,Normal,NSCLC_N8,7.581
NSCLC,EGFR,Normal,NSCLC_N9,6.34
NSCLC,EGFR,Normal,NSCLC_N10,5.812
NSCLC,EGFR,Normal,NSCLC_N11,6.37
NSCLC,EGFR,Normal,NSCLC_N12,3.758
NSCLC,EGFR,Normal,NSCLC_N13,4.148
NSCLC,MET,Tumor,NSCLC_T0,13.714
NSCLC,MET,Tumor,NSCLC_T1,14.769
NSCLC,MET,Tumor,NSCLC_T2,19.295
NSCLC,MET,Tumor,NSCLC_T3,15.066
NSCLC,MET,Tumor,NSCLC_T4,16.775
NSCLC,MET,Tumor,NSCLC_T5,22.209
NSCLC,MET,Tumor,NSCLC_T6,16.846
NSCLC,MET,Tumor,NSCLC_T7,20.39
NSCLC,MET,Tumor,NSCLC_T8,14.975
NSCLC,MET,Tumor,NSCLC_T9,17.334
NSCLC,MET,Tumor,NSCLC_T10,14.922
NSCLC,MET,Tumor,NSCLC_T11,16.902
NSCLC,MET,Tumor,NSCLC_T12,20.723
NSCLC,MET,Tumor,NSCLC_T13,12.403
NSCLC,MET,Tumor,NSCLC_T14,19.408
NSCLC,MET,Tumor,NSCLC_T15,18.77
NSCLC,MET,Tumor,NSCLC_T16,16.075
NSCLC,MET,Tumor,NSCLC_T17,13.315
NSCLC,MET,Normal,NSCLC_N0,4.072
NSCLC,MET,Normal,NSCLC_N1,3.471
NSCLC,MET,Normal,NSCLC_N2,4.233
NSCLC,MET,Normal,NSCLC_N3,4.022
NSCLC,MET,Normal,NSCLC_N4,5.602
NSCLC,MET,Normal,NSCLC_N5,3.761
NSCLC,MET,Normal,NSCLC_N6,2.977
NSCLC,MET,Normal,NSCLC_N7,4.179
NSCLC,MET,Normal,NSCLC_N8,4.22
NSCLC,MET,Normal,NSCLC_N9,5.359
NSCLC,MET,Normal,NSCLC_N10,4.835
NSCLC,MET,Normal,NSCLC_N11,4.357
NSCLC,MET,Normal,NSCLC_N12,5.463
NSCLC,MET,Normal,NSCLC_N13,2.811
NSCLC,HER3,Tumor,NSCLC_T0,13.273
NSCLC,HER3,Tumor,NSCLC_T1,12.498
NSCLC,HER3,Tumor,NSCLC_T2,13.948
NSCLC,HER3,Tumor,NSCLC_T3,11.283
NSCLC,HER3,Tumor,NSCLC_T4,16.715
NSCLC,HER3,Tumor,NSCLC_T5,14.4
NSCLC,HER3,Tumor,NSCLC_T6,11.029
NSCLC,HER3,Tumor,NSCLC_T7,12.258
NSCLC,HER3,Tumor,NSCLC_T8,15.846
NSCLC,HER3,Tumor,NSCLC_T9,17.263
NSCLC,HER3,Tumor,NSCLC_T10,20.391
